Sentiment,Tweets
[6],['Well at least the weather is good MumbaiWeather']
[1],['  Mumbai weather update Monsoon revives after a two weeks lull reports  \nMumbaiains MumbaiWeather \n']
[1],['Mumbai weather update Monsoon revives after a two weeks lull reports  \nMumbaiains MumbaiWeather… ']
[1],['  MumbaiWeather forecast  Aug  MODEAE AIN IN CIY AND SUBUBS WIH POSSIBILIY OF HEAVY FALLS A ISOLAED PLACES\n\nHig…']
[1],['Cycling in the City\nMondayMood mumbaiweather ']
[1],['MumbaiWeather forecast  Aug  MODEAE AIN IN CIY AND SUBUBS WIH POSSIBILIY OF HEAVY FALLS A ISOLAED… ']
[1],['MumbaiWeather PM hunderstorms today With a high of C and a low of C']
[1],['MumbaiWeather  Sunrise August   at AM AM hunderstorms today With a high of C and a low ofC… ']
[6],['  he beautiful western railway head office in Mumbai    photography Mumbaiain…']
[6],['  he beautiful western railway head office in Mumbai    photography Mumbaiain…']
[6],['  mumbaiweather today is pure Sunday bliss Such days deserve nothing but good food home comfort and couch loyalties …']
[6],['mumbaiweather today is pure Sunday bliss Such days deserve nothing but good food home comfort and couch loyalties \nMumbai mumbaiains']
[1],['Watching  season  on IndependenceDay  May be little late in joining the partyBut here I am And t… ']
[1],['  he rain is falling and so I am❤️\n\nlonavala mumbai mumbaimaharastra lonavalarain lonavaladiary amachimumbai mumba…']
[1],['MumbaiWeather ain today With a high of C and a low of C']
[1],['  India IndianAirForce IndianArmy IndianNavy IndiaAt\n\nmumbairain Mumbai Goa amrutmahotsav\nMaharashtra mumbaiwea…']
[1],['  India IndianAirForce IndianArmy IndianNavy IndiaAt\n\nmumbairain Mumbai Goa amrutmahotsav\nMaharashtra mumbaiwea…']
[1],['India IndianAirForce IndianArmy IndianNavy IndiaAt\n\nmumbairain Mumbai Goa amrutmahotsav\nMaharashtra… ']
[1],['MumbaiWeather  Sunrise August   at AM Heavy ain today With a high of C and a low ofC DailyUpdate Weathereports']
[6],['  Such a pleasant start to a Sunday morning \nMumbaiains Mumbai mumbaiweather ']
[6],['  Such a pleasant start to a Sunday morning \nMumbaiains Mumbai mumbaiweather ']
[6],['Such a pleasant start to a Sunday morning \nMumbaiains Mumbai mumbaiweather ']
