,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"Kolhapur as a city has gone through a lot in the last 3 years considering the COVID-19 pandemic, floods in 2019 and… https://t.co/0o7GdLfr4u","Kolhapur as a city has gone through a lot in the last 3 years considering the COVID-19 pandemic, floods in 2019 and… https://t.co/0o7GdLfr4u","Kolhapur as a city has gone through a lot in the last 3 years considering the COVID-19 pandemic, floods in 2019 and… ","Kolhapur as a city has gone through a lot in the last  years considering the COVID- pandemic, floods in  and… ",Kolhapur as a city has gone through a lot in the last  years considering the COVID pandemic floods in  and… ,"['Kolhapur', 'city', 'gone', 'lot', 'last', 'years', 'considering', 'COVID', 'pandemic', 'floods', 'and…']"
1,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
2,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
3,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
4,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
5,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
6,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
7,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
8,"RT @Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","RT  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and now floods.

#Kolha…","  I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and now floods

Kolha…","['I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'floods', 'Kolha…']"
9,Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and… https://t.co/JT7zf7yTdG,Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and… https://t.co/JT7zf7yTdG,Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and… ,Dev_Fadnavis: I even talked about a permanent solution for the recurring problem of livelihood due to #pandemic and… ,DevFadnavis I even talked about a permanent solution for the recurring problem of livelihood due to pandemic and… ,"['DevFadnavis', 'I', 'even', 'talked', 'permanent', 'solution', 'recurring', 'problem', 'livelihood', 'due', 'pandemic', 'and…']"
