,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"RT @JharkhandPMC: With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; C…","RT  With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; C…","RT  With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; C…","  With a .% rise in crimes against women in just  years, why has the top brass of the BJP govt, including the Women &amp; C…",  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp C…,"['With', 'rise', 'crimes', 'women', 'years', 'top', 'brass', 'BJP', 'govt', 'including', 'Women', 'amp', 'C…']"
1,"RT @EastUpPMC: With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chil…","RT  With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chil…","RT  With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chil…","  With a .% rise in crimes against women in just  years, why has the top brass of the BJP govt, including the Women &amp; Chil…",  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Chil…,"['With', 'rise', 'crimes', 'women', 'years', 'top', 'brass', 'BJP', 'govt', 'including', 'Women', 'amp', 'Chil…']"
2,"RT @GauravPandhi: ▪️Demonetization
▪️After NRC in Assam
▪️GST
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…","RT  ▪️Demonetization
▪️After NRC in Assam
▪️GST
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…","RT  ▪️Demonetization
▪️After NRC in Assam
▪️GST
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…","  ▪️Demonetization
▪️After NC in Assam
▪️GS
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank A/c
▪️PMC Bank
▪️Pollu…","  ▪️Demonetization
▪️After NC in Assam
▪️GS
▪️KYC
▪️Aadhar Updation
▪️PNB Bank Scam
▪️Jandhan Bank Ac
▪️PMC Bank
▪️Pollu…","['▪️Demonetization', '▪️After', 'NC', 'Assam', '▪️GS', '▪️KYC', '▪️Aadhar', 'Updation', '▪️PNB', 'Bank', 'Scam', '▪️Jandhan', 'Bank', 'Ac', '▪️PMC', 'Bank', '▪️Pollu…']"
3,"@TheDragSlayer4 @_atma @writeraashu @AamIndividual @RohanKandid @fayedsouza @amitmalviya By the same measure, you s… https://t.co/FFiJIpRG2H","       By the same measure, you s… https://t.co/FFiJIpRG2H","       By the same measure, you s… ","       By the same measure, you s… ",       By the same measure you s… ,"['By', 'measure', 's…']"
4,@oldhandhyd They beloong to same family and his brother daughter was in BJP and now question BJP https://t.co/aTxpa9qYrI, They beloong to same family and his brother daughter was in BJP and now question BJP https://t.co/aTxpa9qYrI, They beloong to same family and his brother daughter was in BJP and now question BJP , hey beloong to same family and his brother daughter was in BJP and now question BJP , hey beloong to same family and his brother daughter was in BJP and now question BJP ,"['hey', 'beloong', 'family', 'brother', 'daughter', 'BJP', 'question', 'BJP']"
5,RT @Nattashasharrma: Passage of the Women's Reservation Bill was one of the poll promises of the BJP. It has already been passed in RS. It…,RT  Passage of the Women's Reservation Bill was one of the poll promises of the BJP. It has already been passed in RS. It…,RT  Passage of the Women's Reservation Bill was one of the poll promises of the BJP. It has already been passed in RS. It…,  Passage of the Women's eservation Bill was one of the poll promises of the BJP. It has already been passed in S. It…,  Passage of the Womens eservation Bill was one of the poll promises of the BJP It has already been passed in S It…,"['Passage', 'Womens', 'eservation', 'Bill', 'one', 'poll', 'promises', 'BJP', 'It', 'already', 'passed', 'S', 'It…']"
6,"@Javedakhtarjadu The issue is that the statue is removed by Karnataka's BJP government. 
No matter what is the reas… https://t.co/pQvojVhhCz"," The issue is that the statue is removed by Karnataka's BJP government. 
No matter what is the reas… https://t.co/pQvojVhhCz"," The issue is that the statue is removed by Karnataka's BJP government. 
No matter what is the reas… "," he issue is that the statue is removed by Karnataka's BJP government. 
No matter what is the reas… "," he issue is that the statue is removed by Karnatakas BJP government 
No matter what is the reas… ","['issue', 'statue', 'removed', 'Karnatakas', 'BJP', 'government', 'No', 'matter', 'reas…']"
7,RT @DigvijayBJYM: It was wonderful as Tarun Thakur dada visited my home in Burnpur Asansol. He is currently the Shakti Kendra Pramukh but t…,RT  It was wonderful as Tarun Thakur dada visited my home in Burnpur Asansol. He is currently the Shakti Kendra Pramukh but t…,RT  It was wonderful as Tarun Thakur dada visited my home in Burnpur Asansol. He is currently the Shakti Kendra Pramukh but t…,  It was wonderful as arun hakur dada visited my home in Burnpur Asansol. He is currently the Shakti Kendra Pramukh but t…,  It was wonderful as arun hakur dada visited my home in Burnpur Asansol He is currently the Shakti Kendra Pramukh but t…,"['It', 'wonderful', 'arun', 'hakur', 'dada', 'visited', 'home', 'Burnpur', 'Asansol', 'He', 'currently', 'Shakti', 'Kendra', 'Pramukh', 't…']"
8,"RT @HaryanaPMC: With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chi…","RT  With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chi…","RT  With a 10.4% rise in crimes against women in just 2 years, why has the top brass of the BJP govt, including the Women &amp; Chi…","  With a .% rise in crimes against women in just  years, why has the top brass of the BJP govt, including the Women &amp; Chi…",  With a  rise in crimes against women in just  years why has the top brass of the BJP govt including the Women amp Chi…,"['With', 'rise', 'crimes', 'women', 'years', 'top', 'brass', 'BJP', 'govt', 'including', 'Women', 'amp', 'Chi…']"
9,RT @Abihabib: India is now censoring its own TV channels for reporting on BJP’s role in Delhi violence. As one Western diplomat said to me…,RT  India is now censoring its own TV channels for reporting on BJP’s role in Delhi violence. As one Western diplomat said to me…,RT  India is now censoring its own TV channels for reporting on BJP’s role in Delhi violence. As one Western diplomat said to me…,  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence. As one Western diplomat said to me…,  India is now censoring its own V channels for reporting on BJP’s role in Delhi violence As one Western diplomat said to me…,"['India', 'censoring', 'V', 'channels', 'reporting', 'BJP’s', 'role', 'Delhi', 'violence', 'As', 'one', 'Western', 'diplomat', 'said', 'me…']"
