Sentiment,Tweets
[3],['Pest bring not just discomfort but also diseases with them Protect your family from those diseases call to book a… ']
[1],['hat  week of rain in Delhi got me feeling so comfortable that I can’t handle the sun today I’m inside my house a… ']
[5],['Beautiful Sunday Morning in Delhi            Delhiains DelhiWeather shotoniphone ']
[3],['Qoute of the day⬆️\nVisit our website to learn more about pest control and our services 🌻⚡\n\n\nquotes quotations… ']
[3],['  hanku MC  for turning Delhi Into Venice\n\nMC  😍😍😍\n\nDelhiain DelhiWeather ']
[5],['Delhi Heavy rains lash parts of DelhiNC some areas waterlogged Delhiains DelhiWeather DelhiNC ']
[5],['Air quality in Delhi is now in the ‘good’ category as the capital recorded an overall AQI of  today Delhiains… ']
[3],['hanku MC  for turning Delhi Into Venice\n\nMC  😍😍😍\n\nDelhiain DelhiWeather ']
[3],['Dusk delhiweather happy weekend ']
[3],['  New Delhi became world’s first smart city to have road side pools for rublic\n  \nDelhiains delhiw…']
[3],['New Delhi became world’s first smart city to have road side pools for rublic\n  \nDelhiains… ']
[3],['his monsoon season give the best gift to your home protection from pests Book our services today\n\n\n… ']
