Sentiment,Tweets
[3],['  Nimgiri Junnar Pune ']
[3],[' everse Waterfall Naneghat\n \n']
[3],['  Nimgiri Junnar Pune ']
[3],['  Video Mysterious bike without rider spotted running on PuneNashik Highway\n\nBullet Pune Nashik P…']
[3],['Video Mysterious bike without rider spotted running on PuneNashik Highway\n\nBullet Pune… ']
[3],['  Some glimpses from our recent COVIDelief distribution drive held in the nearby areas of Junnar Pune Our location…']
[3],['Some glimpses from our recent COVIDelief distribution drive held in the nearby areas of Junnar Pune Our locati… ']
[3],['ShriVighneshwar\nhis temple located on the banks of iver Kukdi fortified on all four sidesis spiritually activ… ']
[3],['  Nimgiri Junnar Pune ']
[3],['Nimgiri Junnar Pune ']
[3],['Just posted a photo  Junnarजुन्नर ']
[3],['  An adult male leopard broke into a school canteen in Maharashtra amp was successfully rescued in a  hr long  operation by…']
[3],[' departments initiative to prevent Human animal conflict\nanimals wildlife conflict PUNE… ']
[3],['  Congratulations  \n\nVisit once and Win a goldmedal of Peace and Serenity\n\nVisit  ']
[3],['Congratulations  \n\nVisit once and Win a goldmedal of Peace and Serenity\n\nVisit … ']
[3],['  Congratulations  \nWin a Gold Medal of Peace Enjoyment elax\n\n𝗠𝗮𝗸𝗶𝗻𝗴 𝘆𝗼𝘂𝗿 𝘀𝘁𝗮𝘆 𝗺𝗲𝗺𝗼𝗿𝗮𝗯𝗹𝗲\n']
[3],['Congratulations  \nWin a Gold Medal of Peace Enjoyment elax\n\n𝗠𝗮𝗸𝗶𝗻𝗴 𝘆𝗼𝘂𝗿 𝘀𝘁𝗮𝘆 𝗺𝗲𝗺𝗼𝗿𝗮𝗯𝗹𝗲… ']
[3],['  An adult male leopard broke into a school canteen in Maharashtra amp was successfully rescued in a  hr long  operation by…']
[3],['  he selfmaterialized seat of ShriGirijatmaj is on the top of d mountain Lenyadri in the midst of stone cave carvin…']
[3],['  An adult male leopard broke into a school canteen in Maharashtra amp was successfully rescued in a  hr long  operation by…']
[3],['  In a tragic incident a Delhi woman died after she fell from Jivdhan fort while trekking in Pune district of Maharashtra on…']
[3],['In a tragic incident a Delhi woman died after she fell from Jivdhan fort while trekking in Pune district of Mahara… ']
[5],[' Great \n\nMaharashtra is great State but both Central and State Government needs to do more to impro… ']
[3],['  An adult male leopard broke into a school canteen in Maharashtra amp was successfully rescued in a  hr long  operation by…']
[3],['Pune Develop Junnar’s Buddhist Caves As A World ourist Destination MP  Bapat… ']
[3],['  An adult male leopard broke into a school canteen in Maharashtra amp was successfully rescued in a  hr long  operation by…']
