Sentiment,Tweets
[3],['  ainy Vibes Check🌧⛈ \n\nmumbaiweather mumbai green macro witter ']
[3],['ainy Vibes Check🌧⛈ \n\nmumbaiweather mumbai green macro witter ']
[3],[' to   Socho ki jheelo me shehar ho Lahro me apna ghar ho🙄\n\n to… ']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[3],['  his picture says a lot about Bombay as a city\ntourswithconscience connectingtheworld attentiontodetail familytou…']
[3],['his picture says a lot about Bombay as a city\ntourswithconscience connectingtheworld attentiontodetail… ']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[3],['Come home to where your heart belongs where the chirping birds will be your neighbors and you will have people who… ']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[1],['  MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibility of occasi…']
[1],['MumbaiWeather Forecast Aug   Light to moderate rain in city and suburbs with occasional intense spells Possibil… ']
[3],['  Morning walk in the middle of Mumbai City 🌆 is like listening alarm snooze around rather than chirping with birds✌️\nmumbai …']
[3],['Morning walk in the middle of Mumbai City 🌆 is like listening alarm snooze around rather than chirping with birds✌️… ']
[3],['MumbaiWeather Cloudy today With a high of C and a low of C']
[3],['MumbaiWeather  Sunrise August   at AM Cloudy today With a high of C and a low ofC DailyUpdate Weathereports']
[3],['  meanwhile this happens when u decide to take a break and go for a walk Mumbaiains MumbaiWeather evening walking …']
[3],['meanwhile this happens when u decide to take a break and go for a walk Mumbaiains MumbaiWeather evening… ']
[3],['  MumbaiWeather Forecast Aug  LIGH O MODEAE AIN IN CIY AND SUBUBS POSSIBILIY OF OCCASSIONAL INENSE SPELLS OCCASIONAL…']
[3],['  MumbaiWeather Forecast Aug   LIGH O MODEAE AIN IN CIY AND SUBUBS POSSIBILIY OF OCCASSIONAL INENSE SPELL OCCASSIONA…']
[3],['  MumbaiWeather Forecast Aug   LIGH O MODEAE AIN IN CIY AND SUBUBS POSSIBILIY OF OCCASSIONAL INENSE SPELL OCCASSIONA…']
[3],['  MumbaiWeather Forecast Aug    LIGH O MODEAE AIN IN CIY AND SUBUBS POSSIBILIY OF OCCASIONAL INENSE SPELLS OCCASSION…']
[3],['  MumbaiWeather Forecast Aug    LIGH O MODEAE AIN IN CIY AND SUBUBS POSSIBILIY OF OCCASIONAL INENSE SPELLS OCCASSION…']
[3],['Chana Dal Pakora\n\nA best dish in this MumbaiWeather in mumbairain to try foodie healthy… ']
[3],['  MumbaiWeather Forecast Aug    LIGH O MODEAE AIN IN CIY AND SUBUBS POSSIBILIY OF OCCASIONAL INENSE SPELLS OCCASSION…']
