Sentiment,Tweets
[0],['Khabarhub NCP forms task force to suggest constitutionamendment proposal  ']
[0],['  o all fake Modi Bhakt account will never succeed \n\nSee how you all Congress SP BSP MCNCPDMKCPI\nCPIM PFI  s…']
[0],['  In tellall book exMumbai Police chief akesh Maria claims he was unceremoniously transferred by CongressNCP govt\n\n']
[0],['  What utter bullshit\nBasically this is to forestall other cities to demand and existing cities to enhance metro\n\nNCP…']
[0],[' No need to proof sir wesupportaimim\nwesupportwarispathan\nwesupportasaduddinowaisi\nBas ek request… ']
[0],['  What utter bullshit\nBasically this is to forestall other cities to demand and existing cities to enhance metro\n\nNCP…']
[0],['  Epidemiology expert on CoronaVirus his virus concerns me the most of everything Ive worked on warming it could potenti…']
[0],['o all fake Modi Bhakt account will never succeed \n\nSee how you all Congress SP BSP MCNCPDMKCPI\nCPIM PFI… ']
[2],['Ncp leader Farhan kitab said that Pdd chief engineer ajaz dar writes me I have no fund for installation of electric… ']
[0],['Exploringianjin【he CAOON GUIDE O NCP PEVENION AND CONOL】drawn by Zuo Chuan Zhao Xinli translated by Ge… ']
[4],['Dr \nCracks Widen In Maha Vikas Aghadi As\xa0 CM Uddhav’s Open Support o CAA NP Pinches NCP And Congress… ']
[2],['  Shivsena backstabbed BJP after elections by joining hands with Congress amp NCP\n\nNo wonder now CM  is silent o…']
[2],['  NCP forms task force to suggest constitution amendment proposal\nNepal politics\n ']
[2],['NCP forms task force to suggest constitution amendment proposal\nNepal politics\n ']
[0],['  New coronavirus cases reported in South Korea and China as Iran Italy battle outbreak  CBC News ']
[0],['New coronavirus cases reported in South Korea and China as Iran Italy battle outbreak  CBC News… ']
[0],['  Maharashtra CongressNCPSena Govt Closes Project Launched By Fadnavis o id State Of Droughts Data ells It Was Succ…']
[4],['From Discover on Google ']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[0],['  Its got ANP']
[0],['  What utter bullshit\nBasically this is to forestall other cities to demand and existing cities to enhance metro\n\nNCP…']
[0],['  What utter bullshit\nBasically this is to forestall other cities to demand and existing cities to enhance metro\n\nNCP…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[0],['  Epidemiology expert on CoronaVirus his virus concerns me the most of everything Ive worked on warming it could potenti…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[0],['  What utter bullshit\nBasically this is to forestall other cities to demand and existing cities to enhance metro\n\nNCP…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[2],['  It was so difficult for Cabinet Minister and NCP Leader Nawab Malik Black Jacket to raise hands to salute Shivaji Ma…']
[0],['And the NCP SS Cong combine does nothing about it What shit ']
[2],['hackeray Supports CAA NCP and Congress Ask Him to econsider\n    ']
[0],['  Maharashtra CongressNCPSena Govt Closes Project Launched By Fadnavis o id State Of Droughts Data ells It Was Succ…']
[2],['  Congress’ Manish ewari asserted that CM hackeray needs to be reacquainted with the design of the Constitution\n\nhttps…']
[4],[' Arey gajab Even jb Zee news ke sath thi kya straight forward bolti thi on face Bjp congress Aap NCP… ']
[4],[' his is eal India Bhakt should learn something from NCP']
[2],['he ruling Nepal Communist Party NCP leaders remain divided over whether to endorse the agreement from the parlia… ']
[0],['  Who designed that NCP']
[2],['  Congress’ Manish ewari asserted that CM hackeray needs to be reacquainted with the design of the Constitution\n\nhttps…']
[0],['    NCP and INC has no balls to stop U becoz according to their… ']
[2],['  Congress’ Manish ewari asserted that CM hackeray needs to be reacquainted with the design of the Constitution\n\nhttps…']
[2],['  Congress’ Manish ewari asserted that CM hackeray needs to be reacquainted with the design of the Constitution\n\nhttps…']
[2],['Congress’ Manish ewari asserted that CM hackeray needs to be reacquainted with the design of the Constitution\n\n']
[0],[' he only people that call lodha a premium company is lodha themselves he drywall in estrella is so… ']
[0],['  After meeting with PM Narendra Modi Congress president Sonia Gandhi   plans his visit  Ayo…']
[2],['  Why not pawar ji make Nawab malik as president of NCP and congress make gulam Nabi Azad as… ']
[4],['By Shaheen Bagh experiment shantidoots want to test the limit of Democracy in India with the support of grand old p… ']
[0],['  Epidemiology expert on CoronaVirus his virus concerns me the most of everything Ive worked on warming it could potenti…']
[0],['  Fighting against NCP epidemic，Chinese people demonstrated unparalleled couragetenacity amp professionalism made extr…']
